source_ip,destination_ip,source_port,destination_port,protocol,duration,total_bytes,packet_count,interval_mean,interval_variance,interval_entropy,size_variance,bytes_per_packet,packets_per_second,byte_rate,burst_ratio,session_id,session_flow_count,session_duration,session_total_packets,session_total_bytes,average_flow_gap,flow_gap_variance,attack_type,label
192.168.0.102,224.0.0.251,5353.0,5353.0,UDP,0.6687459945678711,163,2,0.6687459945678711,0.0,0.000133338311138,20.25,81.5,2.9906721180324314,243.7397776196432,0.0,session_3,9,959.9917669296264,10,779,119.99897086620332,4.701411999974425e-05,5_jittered_beacon,1
fe80::eda:f382:efc9:c94d,ff02::fb,5353.0,5353.0,UDP,0.669281005859375,203,2,0.669281005859375,0.0,0.000133338311138,20.25,101.5,2.988281428115453,303.3105649537185,0.0,session_4,9,959.9911711215972,10,979,119.99889639019966,4.745675403849958e-05,5_jittered_beacon,1
127.0.0.1,127.0.0.1,49712.0,49713.0,TCP,490.75523686409,220276,4950,0.0991625049230329,1.847839548032608,0.0385730879706176,0.2504039995918784,44.50020202020202,10.08649450514342,448.8510431545397,18.634458149951413,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,49714.0,49715.0,TCP,490.75471901893616,218868,4918,0.0998077524952076,1.859929019706824,0.0387937082784021,0.263814810141299,44.503456689711264,10.02129945857991,445.9824664295379,18.635115742097582,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,49712.0,49713.0,TCP,3.0318820476531982,3382,76,0.0404250939687093,0.1197471344275229,0.0708126440651858,0.25,44.5,25.066938226975925,1115.4787511004288,2.962198047584308,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,49714.0,49715.0,TCP,3.031407833099365,3382,76,0.0404187711079915,0.1198041811670007,0.0708126440651858,0.25,44.5,25.07085954260937,1115.6532496461168,2.964072827620264,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
192.168.0.102,239.255.255.250,65372.0,1900.0,UDP,3.023557186126709,808,4,1.0078523953755696,1.791263254189188e-05,0.6365549854702233,0.0,202.0,1.3229450457737666,267.23489924630087,1.777307135854636e-05,session_0,18,1019.3996322155,45,8685,59.96468424797058,0.4437224441482733,5_jittered_beacon,1
127.0.0.1,127.0.0.1,49712.0,49713.0,TCP,405.3548409938812,116768,2624,0.154538635529501,2.934429922269773,0.0548558974706501,0.25,44.5,6.473340724305323,288.0636622315869,18.98832555506547,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,49714.0,49715.0,TCP,405.3538329601288,116152,2610,0.1553675097585775,2.950236644395688,0.0551111405736604,0.2561230751163371,44.502681992337166,6.438819095258743,286.54471860248793,18.98876186520593,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
192.168.0.102,192.168.0.255,57621.0,57621.0,UDP,1034.835322141647,3268,43,24.6389362414678,103.00819000922884,0.8866105378527667,0.0,76.0,0.041552505099081,3.157990387530161,4.180707681521743,session_2,1,1034.835322141647,43,3268,0.0,0.0,5_jittered_beacon,1
127.0.0.1,127.0.0.1,50821.0,50822.0,TCP,0.0488781929016113,474,10,0.0054309103224012,0.0001757781168084,0.6837518944482056,25.440000000000005,47.4,204.590215111458,9697.576196283107,0.0323662344567629,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,8000.0,62871.0,TCP,0.0266180038452148,1222,13,0.0022181669871012,3.837426687722553e-05,0.5660957884680075,9001.076923076924,94.0,488.39124359571497,45908.7768979972,0.0172999900820695,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,8000.0,57936.0,TCP,0.0194830894470214,1787,13,0.0016235907872517,8.635801595207542e-06,0.721473557737214,40447.17159763315,137.46153846153845,667.2453070314986,91720.56643579138,0.005318952080176,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,8000.0,53338.0,TCP,0.787647008895874,1787,13,0.0656372507413228,0.0454700722146077,0.2868474919548597,40447.17159763315,137.46153846153845,16.50485541514776,2268.782817451465,0.6927479701093179,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,8000.0,54721.0,TCP,0.2810800075531006,1787,13,0.0234233339627583,0.005374086106698,0.2868474919548597,40447.17159763315,137.46153846153845,46.250176642478166,6357.620435392961,0.2294330139015432,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,8000.0,52267.0,TCP,0.4378631114959717,1787,13,0.0364885926246643,0.013640604171685,0.2868474919548597,40447.17159763315,137.46153846153845,29.689644225989102,4081.184171680195,0.3738320168168055,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,8000.0,50150.0,TCP,150.74192094802856,635,13,12.561826745669046,369.1820978623439,0.8239689781594348,32.13017751479289,48.84615384615385,0.0862401110337583,4.212497731264348,29.389204718145564,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
127.0.0.1,127.0.0.1,8000.0,50151.0,TCP,0.0264041423797607,1222,13,0.0022003451983133,4.4167260146900216e-05,0.2868474919548597,9001.076923076924,94.0,492.3469890832257,46280.61697382322,0.0200728777378909,session_1,32,1046.5742139816284,15589,711525,27.2197966729441,429.4297833501852,5_jittered_beacon,1
